,CAS,Name,Formula,Mw,Elements,SMILES,InChi
1167,104-76-7,"1-Hexanol, 2-ethyl-",C8H18O,130.1357651998737,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
1179,104-78-9,"1,3-Propanediamine, N,N-diethyl-",C7H18N2,130.146998589166,"['C', 'H', 'N']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
1186,104-82-5,"Benzene, 1-(chloromethyl)-4-methyl-",C8H9Cl,140.039277972521,"['C', 'H', 'Cl']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
1201,104-85-8,"Benzonitrile, 4-methyl-",C8H7N,117.05784923010499,"['C', 'H', 'N']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
1206,104-87-0,"Benzaldehyde, 4-methyl-",C8H8O,120.0575148774837,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
1210,104-88-1,"Benzaldehyde, 4-chloro-",C7H5ClO,140.0028924631367,"['C', 'H', 'Cl', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
1224,104-93-8,"Benzene, 1-methoxy-4-methyl-",C8H10O,122.0731649419617,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
1227,104-94-9,"Benzenamine, 4-methoxy-",C7H9NO,123.0684139141547,"['C', 'H', 'N', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
1244,105-05-5,"Benzene, 1,4-diethyl-",C10H14,134.109550451346,"['C', 'H']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
1291,105-31-7,1-Hexyn-3-ol,C6H10O,98.0731649419617,"['C', 'H', 'O']",Cc1ccc(cc1)C(O)=O,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)"
